Type,Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3_V,NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m],,Ontarian Pollutants,Ontarian Standards,AAQI guide,AQ calculated(need to add formula after discussion),Date ,Time,Location,AQ in map,Description,Site
,,,,,,,,,,,,,,,,,,,,,,St Pierre/Rocque,Low Risk,,Good
Average,,30.77,52.29,8.27,11,11.47,47.93,32500.47,63.26,32517.3,100850.2,45.475311,-75.522397,,,,,,,,,St Pierre/Rocque,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,
Location 5,08/25/2020 9:23:19,28.5,51.19,4.9,7.2,7.9,25.43,32525.2,-25.45,32592.1,100218.2,45.432199,-75.607403,,,,,,1,25-Aug-20,9:23:19 AM,Blair Station,Low Risk,,Bad
Bad site,,,,,,,,,,,,,,,,,,,,,,Blair Station,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,Blair Station,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,Blair Station,Low Risk,,Bad
Average,,28.5,51.19,4.9,7.2,7.9,25.43,32525.2,-25.45,32592.1,100218.2,45.432199,-75.607403,,,,,,,,,Blair Station,Low Risk,,Bad
Good Site,08/25/2020 10:03:49 AM,26.84,55.36,6.65,8.5,9.05,126.47,32454.25,-52.31,32601.9,100142.05,45.409234,-75.721838,,,,,,7,25-Aug-20,10:03:49 AM,Bayview Station,High Risk,O3 level higher than standard,Good
,,,,,,,,,,,,,,,,,,,,,,Bayview Station,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Bayview Station,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Bayview Station,Low Risk,,Good
Average,,26.84,55.36,6.65,8.5,9.05,126.47,32454.25,-52.31,32601.9,100142.05,45.409234,-75.721838,,,,,,,,,Bayview Station,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,
Location 6,08/16/2020 9:19:49,23.57,37.6,7.8,12.1,14,96.3,32519.9,133.86,32527.5,100828.9,45.429372,-75.686675,,,,,,7,16-Aug-20,9:19:49 AM,George/King Edward - Andrew Fleck Children's Services,High Risk,,Bad
Bad site,,,,,,,,,,,,,,,,,,,,,,George/King Edward - Andrew Fleck Children's Services,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,George/King Edward - Andrew Fleck Children's Services,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,George/King Edward - Andrew Fleck Children's Services,Low Risk,,Bad
Average,,23.57,37.6,7.8,12.1,14,96.3,32519.9,133.86,32527.5,100828.9,45.429372,-75.686675,,,,,,,,,George/King Edward - Andrew Fleck Children's Services,Low Risk,,Bad
Good Site,08/16/2020 9:39:05,23.9,60.64,11.4,16.8,18.1,68.99,32538.2,88.44,32546.4,100956.8,45.431553,-75.685484,,,,,,1,16-Aug-20,9:39:05 AM,York/Nelson,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,York/Nelson,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,York/Nelson,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,York/Nelson,Low Risk,,Good
Average,,23.9,60.64,11.4,16.8,18.1,68.99,32538.2,88.44,32546.4,100956.8,45.431553,-75.685484,,,,,,,,,York/Nelson,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,
Location 7,10:19:12,27.52,54.05,10.29,13.86,14.98,16.12,32542.36,-63.17,32500.84,101097.66,45.274663,-75.739268,,,,,,1,13-Aug-20,10:19:12 AM,Longfield Drive/Strandherd - City view daycare,Low Risk,,Bad
Bad site,,,,,,,,,,,,,,,,,,,,,,Longfield Drive/Strandherd - City view daycare,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,Longfield Drive/Strandherd - City view daycare,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,Longfield Drive/Strandherd - City view daycare,Low Risk,,Bad
Average,,27.52,54.05,10.29,13.86,14.98,16.12,32542.36,-63.17,32500.84,101097.66,45.274663,-75.739268,,,,,,,,,Longfield Drive/Strandherd - City view daycare,Low Risk,,Bad
Good Site,10:29:13,28.45,51.01,9.83,13.23,14.73,66.32,32508.03,-66.59,32502.37,101104.8,45.274601,-75.742961,,,,,,1,13-Aug-20,10:29:13 AM,Portrush/Rodeo Park,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Portrush/Rodeo Park,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Portrush/Rodeo Park,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,Portrush/Rodeo Park,Low Risk,,Good
Average,,28.45,51.01,9.83,13.23,14.73,66.32,32508.03,-66.59,32502.37,101104.8,45.274601,-75.742961,,,,,,,,,Portrush/Rodeo Park,Low Risk,,Good
,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,
Location 8,16:39:52,28.74,40.06,2.72,4.37,4.63,26.11,32568.37,-9.96,32587.9,100464.75,45.383748,-75.738561,,,,,,1,22-Aug-20,16:39:52,Kirkwood/Carling - Embassy West Senior Living,Low Risk,,Bad
Bad site,,,,,,,,,,,,,,,,,,,,,,Kirkwood/Carling - Embassy West Senior Living,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,Kirkwood/Carling - Embassy West Senior Living,Low Risk,,Bad
,,,,,,,,,,,,,,,,,,,,,,Kirkwood/Carling - Embassy West Senior Living,Low Risk,,Bad
Average,,28.74,40.06,2.72,4.37,4.63,26.11,32568.37,-9.96,32587.9,100464.75,45.383748,-75.738561,,,,,,,,,Kirkwood/Carling - Embassy West Senior Living,Low Risk,,Bad
