Type,Timestamp,Date,Time,Morn_Aft,Day_of_Week,Day,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3_V,NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m],,Ontarian Pollutants,Ontarian Standards,AAQI guide,AQ calculated(need to add formula after discussion),Location,Site,AQ_Map,Description,,,,,,,,,,,,,
Good Site,08/16/2020 9:39:05,16-Aug-20,9:39,Morning,7,Weekend,23.9,60.64,11.4,16.8,18.1,68.99,32538.2,88.44,32546.4,100956.8,45.431553,-75.685484,,,,,,2.25,York/Nelson,Site B,Low Risk,,,,,,,,,,,,,,
,8/25/20 15:46,25-Aug-20,15:46,Afternoon,2,Weekday,25.675,40.825,0,0.6,1.5,25.155,32568.9,-50.2,32604.55,100180.4,45.431553,-75.685484,,,,,,1,York/Nelson,Site B,Low Risk,,,,,,,,,,,,,,
,9/12/20 16:31,12-Sep-20,16:31:57,Afternoon,6,Weekend,24.45333333,43.8,9.066666667,12.76666667,13.93333333,110.69,32465.13333,2.826666667,32582.83333,101594.2667,45.431553,-75.685484,,,,,,2.25,York/Nelson,Site B,Low Risk,,,,,,,,,,,,,,
,9/23/20,23-Sep-20,,Morning,3,Weekday,19.75,54.4,5.9,10,11.8,-68.99,32634.1,-11.95,32588.6,100446.5,45.431484,-75.685417,,,,,,1.75,York/Nelson,Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,21.825,57.52,8.65,13.4,14.95,0,32586.15,38.245,32567.5,100701.65,45.431553,-75.685484,,,,,,2,York/Nelson,Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,25.06416667,42.3125,4.533333334,6.683333335,7.716666665,67.9225,32517.01667,-23.68666667,32593.69167,100887.3334,45.431553,-75.685484,,,,,,1.625,York/Nelson,Site B,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,22.7125,47.6125,2.95,5.3,6.65,-21.9175,32601.5,-31.075,32596.575,100313.45,45.431553,-75.685484,,,,,,1.375,York/Nelson,Site B,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,24.17666667,52.22,10.23333333,14.78333334,16.01666667,89.84,32501.66667,45.63333333,32564.61667,101275.5334,45.431553,-75.685484,,,,,,2.25,York/Nelson,Site B,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,23.44458333,49.91625,6.591666667,10.04166667,11.33333333,33.96125,32551.58333,7.279166667,32580.59583,100794.4917,45.431553,-75.685484,,,,,,1.8125,York/Nelson,Site B,Low Risk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,,,,,,,,,,,,,
Location 7,8/13/20 10:18,13-Aug-20,10:18:41,Morning,4,Weekday,27.42,54.24,10.3,13.8,14.8,24.69,32536.8,-44.95,32493.5,101098.6,45.274663,-75.739268,,,,,,1.25,Longfield Drive/Strandherd - City view daycare,Site A,Low Risk,,,,,,,,,,,,,,
Bad site,9/03/20 17:11,3-Sep-20,17:11:51,Afternoon,4,Weekday,27.44071429,43.21142857,1.807142857,2.771428571,3.307142857,-23.40857143,32602.76429,-18.43714286,32591.10714,99250.00714,45.274663,-75.739268,,,,,,1,Longfield Drive/Strandherd - City view daycare,Site A,Low Risk,,,,,,,,,,,,,,
,9/13/20 8:43,13-Sep-20,8:43:54,Morning,7,Weekend,21.72,58.74,1.9,3.1,3.5,49.46,32508.6,-62.2,32605.5,100258.9,45.274663,-75.739268,,,,,,1.25,Longfield Drive/Strandherd - City view daycare,Site A,Low Risk,,,,,,,,,,,,,,
,9/27/20 16:19,27-Sep-20,16:19,Afternoon,7,Weekend,27.38,47.05,3.1,6.1,7.6,-7.07,32548.8,14.14,32578.8,99650.1,45.274663,-75.739268,,,,,,,Longfield Drive/Strandherd - City view daycare,Site A,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,24.57,56.49,6.1,8.45,9.15,37.075,32522.7,-53.575,32549.5,100678.75,45.274663,-75.739268,,,,,,1.25,Longfield Drive/Strandherd - City view daycare,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,27.41035715,45.13071429,2.453571429,4.435714286,5.453571429,-15.23928572,32575.78215,-2.14857143,32584.95357,99450.05357,45.274663,-75.739268,,,,,,1,Longfield Drive/Strandherd - City view daycare,Site A,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,27.43035715,48.72571429,6.053571429,8.285714286,9.053571429,0.640714285,32569.78215,-31.69357143,32542.30357,100174.3036,45.274663,-75.739268,,,,,,1.125,Longfield Drive/Strandherd - City view daycare,Site A,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,24.55,52.895,2.5,4.6,5.55,21.195,32528.7,-24.03,32592.15,99954.5,45.274663,-75.739268,,,,,,1.25,Longfield Drive/Strandherd - City view daycare,Site A,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,25.99017857,50.81035714,4.276785714,6.442857143,7.301785714,10.91785714,32549.24107,-27.86178572,32567.22679,100064.4018,45.274663,-75.739268,,,,,,1.166666667,Longfield Drive/Strandherd - City view daycare,Site A,Low Risk,,,,,,,,,,,,,,
Good Site,8/13/20 10:24,13-Aug-20,10:24:16,Morning,4,Weekday,27.56,52.765,10.1,13.6,14.5,-15.975,32564.6,-107.37,32518.55,101091.85,45.274601,-75.742961,,,,,,1.5,Portrush/Rodeo Park,Site B,Low Risk,,,,,,,,,,,,,,
,9/03/20 17:38,3-Sep-20,17:38,Afternoon,4,Weekday,25.61,45.97,2,2.7,3.1,20.12,32572.6,-21.51,32592.2,99186.1,45.274601,-75.742961,,,,,,1,Portrush/Rodeo Park,Site B,Low Risk,,,,,,,,,,,,,,
,"9/13/2020 9""09:14",13-Sep-20,9:09:14,Morning,7,Weekend,18.49,70.81,2.9,4.6,5.7,26.85,32524.2,-96.13,32617.8,100181.7,45.274601,-75.742961,,,,,,1.5,Portrush/Rodeo Park,Site B,Low Risk,,,,,,,,,,,,,,
,9/27/20 16:42,27-Sep-20,16:42,Afternoon,7,Weekend,27.32,48.6,4,6.4,7.1,33.91,32519.6,-14.14,32588.5,99607.9,45.274601,-75.742961,,,,,,1.25,Portrush/Rodeo Park,Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,23.025,61.7875,6.5,9.1,10.1,5.4375,32544.4,-101.75,32568.175,100636.775,45.274601,-75.742961,,,,,,1.5,Portrush/Rodeo Park,Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,26.465,47.285,3,4.55,5.1,27.015,32546.1,-17.825,32590.35,99397,45.274601,-75.742961,,,,,,1.125,Portrush/Rodeo Park,Site B,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,26.585,49.3675,6.05,8.15,8.8,2.0725,32568.6,-64.44,32555.375,100138.975,45.274601,-75.742961,,,,,,1.25,Portrush/Rodeo Park,Site B,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,22.905,59.705,3.45,5.5,6.4,30.38,32521.9,-55.135,32603.15,99894.8,45.274601,-75.742961,,,,,,1.375,Portrush/Rodeo Park,Site B,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,24.745,54.53625,4.75,6.825,7.6,16.22625,32545.25,-59.7875,32579.2625,100016.8875,45.274601,-75.742961,,,,,,1.3125,Portrush/Rodeo Park,Site B,Low Risk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,,,,,,,,,,,,,
Location 8,8/22/20 16:21,22-Aug-20,16:21,Afternoon,6,Weekend,28.75,38.18,2.5,4,5,76.18,32534,160.15,32517,100462.4,45.383748,-75.738561,,,,,,2,Kirkwood/Carling - Embassy West Senior Living,Site A,Low Risk,,,,,,,,,,,,,,
Bad site,9/09/20 9:25,9-Sep-20,9:25,Morning,3,Weekday,18.39,64.33,0.9,1.7,2.2,139.89,32444.3,16.96,32577.1,101873.4,45.383748,-75.738561,,,,,,2.25,Kirkwood/Carling - Embassy West Senior Living,Site A,Low Risk,,,,,,,,,,,,,,
,9/01/20 17:17,1-Sep-20,17:17,Afternoon,2,Weekday,25.51,57.99,3.4,4.4,4.8,165.57,32419.3,117.36,32495.6,100749.1,45.383748,-75.738561,,,,,,2.75,Kirkwood/Carling - Embassy West Senior Living,Site A,Low Risk,,,,,,,,,,,,,,
,9/20/20 8:39,20-Sep-20,8:39,Morning,7,Weekend,22.6,39.96,0.3,0.6,0.9,163.91,32427.1,42.41,32568.2,102815.2,45.383748,-75.738561,,,,,,2.5,Kirkwood/Carling - Embassy West Senior Living,Site A,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,20.495,52.145,0.6,1.15,1.55,151.9,32435.7,29.685,32572.65,102344.3,45.383748,-75.738561,,,,,,2.375,Kirkwood/Carling - Embassy West Senior Living,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,27.13,48.085,2.95,4.2,4.9,120.875,32476.65,138.755,32506.3,100605.75,45.383748,-75.738561,,,,,,2.375,Kirkwood/Carling - Embassy West Senior Living,Site A,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,21.95,61.16,2.15,3.05,3.5,152.73,32431.8,67.16,32536.35,101311.25,45.383748,-75.738561,,,,,,2.5,Kirkwood/Carling - Embassy West Senior Living,Site A,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,25.675,39.07,1.4,2.3,2.95,120.045,32480.55,101.28,32542.6,101638.8,45.383748,-75.738561,,,,,,2.25,Kirkwood/Carling - Embassy West Senior Living,Site A,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,23.8125,50.115,1.775,2.675,3.225,136.3875,32456.175,84.22,32539.475,101475.025,45.383748,-75.738561,,,,,,2.375,Kirkwood/Carling - Embassy West Senior Living,Site A,Low Risk,,,,,,,,,,,,,,
Good Site,08/22/2020 16:35:25,22-Aug-20,16:35,Afternoon,6,Weekend,28.84,38.36,3.2,4.9,5.3,34.5,32562.8,-2.39,32584.3,100484.5,45.383212,-75.73704,,,,,,1.25,Thames/Meast,Site B,Low Risk,,,,,,,,,,,,,,
,9/09/20 9:45,9-Sep-20,9:45,Morning,3,Weekday,16.11,73.37,1.1,1.8,2.2,67.83,32496,-76.34,32610.3,101962.5,45.383212,-75.73704,,,,,,1.75,Thames/Meast,Site B,Low Risk,,,,,,,,,,,,,,
,9/01/20 17:20,1-Sep-20,17:20,Afternoon,2,Weekday,25.15,58.99,3.3,4.3,4.6,143.78,32434.7,94.89,32504.5,100768.7,45.383212,-75.73704,,,,,,2.25,Thames/Meast,Site B,Low Risk,,,,,,,,,,,,,,
,9/20/20 8:57,20-Sep-20,8:57,Morning,7,Weekend,15.43,44.14,2.8,4.3,5.1,169.56,32423.4,-67.86,32607.7,102868.2,45.383212,-75.73704,,,,,,2.75,Thames/Meast,Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,15.77,58.755,1.95,3.05,3.65,118.695,32459.7,-72.1,32609,102415.35,45.383212,-75.73704,,,,,,2.25,Thames/Meast,Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,26.995,48.675,3.25,4.6,4.95,89.14,32498.75,46.25,32544.4,100626.6,45.383212,-75.73704,,,,,,1.75,Thames/Meast,Site B,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,20.63,66.18,2.2,3.05,3.4,105.805,32465.35,9.275,32557.4,101365.6,45.383212,-75.73704,,,,,,2,Thames/Meast,Site B,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,22.135,41.25,3,4.6,5.2,102.03,32493.1,-35.125,32596,101676.35,45.383212,-75.73704,,,,,,2,Thames/Meast,Site B,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,21.3825,53.715,2.6,3.825,4.3,103.9175,32479.225,-12.925,32576.7,101520.975,45.383212,-75.73704,,,,,,2,Thames/Meast,Site B,Low Risk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,,,,,,,,,,,,,
Location 9,8/17/20 8:36,17-Aug-20,8:36,Morning,1,Weekday,23.79,64.36,3.6,5.6,6,52.28,32497.3,139.83,32486.8,100543.5,45.393367,-75.683854,,,,,,1,Hopewell av/ Bank - Hopewell avenue public school,Site A,Low Risk,,,,,,,,,,,,,,
Bad site,9/14/20,14-Sep-20,8:51,Morning,1,Weekday,15.31,49.125,0.15,0.9,0.9,100.215,32464.8,-7.49,32545.7,101719.6,45.393367,-75.683854,,,,,,,Hopewell av/ Bank - Hopewell avenue public school,Site A,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.393367,-75.683854,,,,,,,Hopewell av/ Bank - Hopewell avenue public school,Site A,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.393367,-75.683854,,,,,,,Hopewell av/ Bank - Hopewell avenue public school,Site A,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,19.55,56.7425,1.875,3.25,3.45,76.2475,32481.05,66.17,32516.25,101131.55,45.393367,-75.683854,,,,,,1,Hopewell av/ Bank - Hopewell avenue public school,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.393367,-75.683854,,,,,,#DIV/0!,Hopewell av/ Bank - Hopewell avenue public school,Site A,#DIV/0!,,,,,,,,,,,,,,
Weekday Average,,,,,,,19.55,56.7425,1.875,3.25,3.45,76.2475,32481.05,66.17,32516.25,101131.55,45.393367,-75.683854,,,,,,1,Hopewell av/ Bank - Hopewell avenue public school,Site A,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.393367,-75.683854,,,,,,#DIV/0!,Hopewell av/ Bank - Hopewell avenue public school,Site A,#DIV/0!,,,,,,,,,,,,,,
Total Average,,,,,,,19.55,56.7425,1.875,3.25,3.45,76.2475,32481.05,66.17,32516.25,101131.55,45.393367,-75.683854,,,,,,1,Hopewell av/ Bank - Hopewell avenue public school,Site A,Low Risk,,,,,,,,,,,,,,
Good Site,8/17/20,17-Aug-20,8:41:21,Morning,1,Weekday,23.155,67.03,2.7,3.95,4.3,36.31,32508.2,127.35,32491.3,100582.45,45.39268,-75.685342,,,,,,1,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
,9/14/20,14-Sep-20,9:07,Morning,1,Weekday,14.645,50.825,0.1,0.15,0.25,85.69,32474.65,-16.23,32548.9,101779.35,45.39268,-75.685342,,,,,,,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.39268,-75.685342,,,,,,,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.39268,-75.685342,,,,,,,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,18.9,58.9275,1.4,2.05,2.275,61,32491.425,55.56,32520.1,101180.9,45.39268,-75.685342,,,,,,1,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.39268,-75.685342,,,,,,#DIV/0!,Hopewell/Grosvenor (47 Hopewell),Site B,#DIV/0!,,,,,,,,,,,,,,
Weekday Average,,,,,,,18.9,58.9275,1.4,2.05,2.275,61,32491.425,55.56,32520.1,101180.9,45.39268,-75.685342,,,,,,1,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.39268,-75.685342,,,,,,#DIV/0!,Hopewell/Grosvenor (47 Hopewell),Site B,#DIV/0!,,,,,,,,,,,,,,
Total Average,,,,,,,18.9,58.9275,1.4,2.05,2.275,61,32491.425,55.56,32520.1,101180.9,45.39268,-75.685342,,,,,,1,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,,,,,,,,,,,,,
Location 10,08/22/2020 9:40:10,22-Aug-20,9:40,Morning,6,Weekend,23.57,52.37,1.2,2.2,2.5,60.37,32544.5,86.05,32547.3,100727.8,45.437719,-75.657378,,,,,,1,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
Bad site,,,,Morning,6,Weekend,,,,,,,,,,,45.437719,-75.657378,,,,,,,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.437719,-75.657378,,,,,,,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.437719,-75.657378,,,,,,,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,23.57,52.37,1.2,2.2,2.5,60.37,32544.5,86.05,32547.3,100727.8,45.437719,-75.657378,,,,,,1,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.437719,-75.657378,,,,,,#DIV/0!,St Anne/Montréal - Mega Shelter,Site A,#DIV/0!,,,,,,,,,,,,,,
Weekday Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.437719,-75.657378,,,,,,#DIV/0!,St Anne/Montréal - Mega Shelter,Site A,#DIV/0!,,,,,,,,,,,,,,
Weekend Average,,,,,,,23.57,52.37,1.2,2.2,2.5,60.37,32544.5,86.05,32547.3,100727.8,45.437719,-75.657378,,,,,,1,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,23.57,52.37,1.2,2.2,2.5,60.37,32544.5,86.05,32547.3,100727.8,45.437719,-75.657378,,,,,,1,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
Good Site,08/22/2020 9:41:33,22-Aug-20,9:41,Morning,6,Weekend,23.6,50.75333333,1.166666667,2.1,2.566666667,62.76666667,32542.86667,98,32542.73333,100738.2333,45.439052,-75.658895,,,,,,1,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.439052,-75.658895,,,,,,,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.439052,-75.658895,,,,,,,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.439052,-75.658895,,,,,,,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,23.6,50.75333333,1.166666667,2.1,2.566666667,62.76666667,32542.86667,98,32542.73333,100738.2333,45.439052,-75.658895,,,,,,1,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.439052,-75.658895,,,,,,#DIV/0!,St. Anne/ Monfort Vanier,Site B,#DIV/0!,,,,,,,,,,,,,,
Weekday Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.439052,-75.658895,,,,,,#DIV/0!,St. Anne/ Monfort Vanier,Site B,#DIV/0!,,,,,,,,,,,,,,
Weekend Average,,,,,,,23.6,50.75333333,1.166666667,2.1,2.566666667,62.76666667,32542.86667,98,32542.73333,100738.2333,45.439052,-75.658895,,,,,,1,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,23.6,50.75333333,1.166666667,2.1,2.566666667,62.76666667,32542.86667,98,32542.73333,100738.2333,45.439052,-75.658895,,,,,,1,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,,,,,,,,,,,,,
Location 11,9/20/20 16:26,20-Sep-20,16:26:52 PM,Afternoon,7,Weekend,19.925,28.16,0.5,0.95,1.2,67.56,32539.55,-11.95,32588.65,102838.25,45.437719,-75.657378,,,,,,1.25,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Bad site,9/24/20 16:31,24-Sep-20,16:31,Afternoon,4,Weekday,22.17,42.01,0.9,1.9,2.3,27.31,32567.7,-7.17,32586.8,100763.9,45.437719,-75.657378,,,,,,1,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
,9/26/20 9:57,26-Sep-20,9:57:18,Morning,6,Weekend,19.49,53.24,8.9,14.4,16.5,-29.67,32564.8,-104.61,32621,100961.6,45.437719,-75.657378,,,,,,1.5,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
,9/01/20 8:41,1-Sep-20,8:41:14,Morning,2,Weekday,19.38,64.24,4.5,6.4,8.1,40.67,32505.8,107.37,32499.6,101049.3,45.437719,-75.657378,,,,,,1.5,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,19.435,58.74,6.7,10.4,12.3,5.5,32535.3,1.38,32560.3,101005.45,45.437719,-75.657378,,,,,,1.5,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,21.0475,35.085,0.7,1.425,1.75,47.435,32553.625,-9.56,32587.725,101801.075,45.437719,-75.657378,,,,,,1.125,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,20.775,53.125,2.7,4.15,5.2,33.99,32536.75,50.1,32543.2,100906.6,45.437719,-75.657378,,,,,,1.25,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,19.7075,40.7,4.7,7.675,8.85,18.945,32552.175,-58.28,32604.825,101899.925,45.437719,-75.657378,,,,,,1.375,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,20.24125,46.9125,3.7,5.9125,7.025,26.4675,32544.4625,-4.09,32574.0125,101403.2625,45.437719,-75.657378,,,,,,1.3125,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Good Site,9/20/20 16:43,20-Sep-20,16:43,Afternoon,7,Weekend,19.475,34.255,0.55,1.2,1.4,60.37,32544.6,13.145,32578.15,102808.35,45.439052,-75.658895,,,,,,1.5,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
,9/24/20 16:58,24-Sep-20,16:58:27,Afternoon,4,Weekday,20.83,46.72,1,2.1,2.8,-24.43,32603.2,4.78,32581.6,100767.3,45.439052,-75.658895,,,,,,1,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
,9/26/20,26-Sep-20,10:19:36,Morning,6,Weekend,18.815,59.58,9,13.7,15.45,-38.15,32570.6,-91.885,32616.1,100898.95,45.439052,-75.658895,,,,,,1.75,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
,9/01/20 8:49,1-Sep-20,8:49:04,Morning,2,Weekday,19.1,66.64,4.65,7.75,10.2,43.57,32503.3,74.91,32512.5,101046.95,45.439052,-75.658895,,,,,,1.5,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,18.9575,63.11,6.825,10.725,12.825,2.71,32536.95,-8.4875,32564.3,100972.95,45.439052,-75.658895,,,,,,1.625,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,20.1525,40.4875,0.775,1.65,2.1,17.97,32573.9,8.9625,32579.875,101787.825,45.439052,-75.658895,,,,,,1.25,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,19.965,56.68,2.825,4.925,6.5,9.57,32553.25,39.845,32547.05,100907.125,45.439052,-75.658895,,,,,,1.25,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,19.145,46.9175,4.775,7.45,8.425,11.11,32557.6,-39.37,32597.125,101853.65,45.439052,-75.658895,,,,,,1.625,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,19.555,51.79875,3.8,6.1875,7.4625,10.34,32555.425,0.2375,32572.0875,101380.3875,45.439052,-75.658895,,,,,,1.4375,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location 12,9/12/20 9:58,12-Sep-20,9:58,Morning,6,Weekend,14.21,61.77,1.2,2.1,2.5,-5.65,32547.5,-36.76,32596.6,101766.7,45.437719,-75.657378,,,,,,1,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
Bad site,9/04/20 9:09,4-Sep-20,9:09,Morning,5,Weekend,21.97,46.43,0.1,0.4,0.7,167.02,32418.6,109.87,32498.3,100107.5,45.437719,-75.657378,,,,,,2.75,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
,8/29/20 16:19,29-Aug-20,16:19:00,Afternoon,6,Weekend,24.53,55.56,2.4,3.2,3.4,93.26,32477.1,31.1,32572.9,98348.5,45.437719,-75.657378,,,,,,1.75,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
,9/22/20 16:39,22-Sep-20,16:39:00,Afternoon,2,Weekday,21.85,40.72,2.3,3.8,4.8,86.24,32527,57.37,32559.2,100645.5,45.437719,-75.657378,,,,,,1.75,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,18.09,54.1,0.65,1.25,1.6,80.685,32483.05,36.555,32547.45,100937.1,45.437719,-75.657378,,,,,,1.875,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,23.19,48.14,2.35,3.5,4.1,89.75,32502.05,44.235,32566.05,99497,45.437719,-75.657378,,,,,,1.75,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,21.85,40.72,2.3,3.8,4.8,86.24,32527,57.37,32559.2,100645.5,45.437719,-75.657378,,,,,,1.75,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
