Type,Timestamp,Date,Time,Morn_Aft,Day_of_Week,Day,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3_V,NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m],,Ontarian Pollutants,Ontarian Standards,AAQI guide,AQ calculated(need to add formula after discussion),Location,Site,AQ_Map,Description,,,,,,,,,,,,,
Morning Average,,,,,,,29.085,58.745,10.95,14.75,15.45,28.67,16281.75979,35.295,16264.91174,100008.2,45.300498,-75.88536,,,,less than 600,9,1.875,Fairfield Manor Retirement Residence,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,19.26,40.89,0.45,1.25,1.3,55.655,32526.2,-39.465,32598.15,101360.95,45.300498,-75.88536,,,,less than 666.67,10,1.5,Fairfield Manor Retirement Residence,Site A,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,22.94,62.615,7.7,10.5,10.8,73.045,16255.90979,-13.285,16303.36174,100460.1,45.300498,-75.88536,,,,more than 666.67,>10,2.25,Fairfield Manor Retirement Residence,Site A,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,25.405,37.02,3.7,5.5,5.95,11.28,32552.05,9.115,32559.7,100909.05,45.300498,-75.88536,,,PM2.5[ug/m^3],less than 10,1,1.5,Fairfield Manor Retirement Residence,Site A,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,24.1725,49.8175,5.7,8,8.375,42.1625,24403.97989,-2.085,24431.53087,100684.575,45.300498,-75.88536,,,,less than 20,2,1.75,Fairfield Manor Retirement Residence,Site A,Low Risk,,,,,,,,,,,,,,
Good Site,08/23/2020 9:44:41,23-Aug-20,9:44,Morning,7,Weekend,28.8,54.965,10.8,14.4,14.9,-21.785,32548.55,149.82,32482.35,100353.75,45.303757,-75.888051,,,,less than 30,3,1.75,Shearer Crescent,Site B,Low Risk,,,,,,,,,,,,,,
,8/11/20 9:03,11-Aug-20,9:03,Morning,2,Weekday,26.06,69.08,15.5,22,22.5,63.89,1.420164,40.71,1.423414,99665.8,45.303757,-75.888051,,,,less than 40,4,2.25,Shearer Crescent,Site B,Low Risk,,,,,,,,,,,,,,
,9/10/20 17:04,10-Sep-20,17:04,Afternoon,4,Weekday,15.51,66.83,0,0,0,43.8,32513,-67.86,32608,101284.7,45.303757,-75.888051,,,,less than 50,5,1.75,Shearer Crescent,Site B,Low Risk,,,,,,,,,,,,,,
,9/19/20 17:09,19-Sep-20,17:09,Afternoon,6,Weekend,17.21,27.69,0.3,0.9,1.2,1.44,32585,-52.59,32605.9,101583.6,45.303757,-75.888051,,,,less than 60,6,1,Shearer Crescent,Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,27.43,62.0225,13.15,18.2,18.7,21.0525,16274.98508,95.265,16241.88671,100009.775,45.303757,-75.888051,,,,less than 70,7,2,Shearer Crescent,Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,16.36,47.26,0.15,0.45,0.6,22.62,32549,-60.225,32606.95,101434.15,45.303757,-75.888051,,,,less than 80,8,1.375,Shearer Crescent,Site B,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,20.785,67.955,7.75,11,11.25,53.845,16257.21008,-13.575,16304.71171,100475.25,45.303757,-75.888051,,,,less than 90,9,2,Shearer Crescent,Site B,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,23.005,41.3275,5.55,7.65,8.05,-10.1725,32566.775,48.615,32544.125,100968.675,45.303757,-75.888051,,,,less than 100,10,1.375,Shearer Crescent,Site B,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,21.895,54.64125,6.65,9.325,9.65,21.83625,24411.99254,17.52,24424.41835,100721.9625,45.303757,-75.888051,,,,more than 100,>10,1.6875,Shearer Crescent,Site B,Low Risk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,PM10.0[ug/m^3],less than 16.67,,,,,Low Risk,,,,,,,,,,,,,,
Location 3,08/15/2020 10:34:02,15-Aug-20,10:34,Morning,6,Weekend,26.56666667,47.57,4.533333333,6.633333333,7.4,23.47666667,32591.96667,-19.12,32583.66667,101153.5333,45.410553,-75.686838,,,,less than 33.33,,1,Isabella/Pretoria - Villagia in the Glebe,Site A,Low Risk,,,,,,,,,,,,,,
Bad site,08/24/2020 16:49:54,24-Aug-20,16:49,Afternoon,1,Weekday,29.35,54.09,11.2,15.8,16.7,68.99,32538,117.12,32534.7,100289.2,45.410553,-75.686838,,,,less than 50,,2,Isabella/Pretoria - Villagia in the Glebe,Site A,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.410553,-75.686838,,,,less than 66.67,,,Isabella/Pretoria - Villagia in the Glebe,Site A,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.410553,-75.686838,,,,less than 83.33,,,Isabella/Pretoria - Villagia in the Glebe,Site A,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,26.56666667,47.57,4.533333333,6.633333333,7.4,23.47666667,32591.96667,-19.12,32583.66667,101153.5333,45.410553,-75.686838,,,,less than 100,,1,Isabella/Pretoria - Villagia in the Glebe,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,29.35,54.09,11.2,15.8,16.7,68.99,32538,117.12,32534.7,100289.2,45.410553,-75.686838,,,,less than 116.67,,2,Isabella/Pretoria - Villagia in the Glebe,Site A,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,29.35,54.09,11.2,15.8,16.7,68.99,32538,117.12,32534.7,100289.2,45.410553,-75.686838,,,,less than 133.33,,2,Isabella/Pretoria - Villagia in the Glebe,Site A,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,26.56666667,47.57,4.533333333,6.633333333,7.4,23.47666667,32591.96667,-19.12,32583.66667,101153.5333,45.410553,-75.686838,,,,less than 150,,1,Isabella/Pretoria - Villagia in the Glebe,Site A,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,27.95833334,50.83,7.866666667,11.21666667,12.05,46.23333334,32564.98334,49,32559.18334,100721.3667,45.410553,-75.686838,,,,less than 166.67,,1.5,Isabella/Pretoria - Villagia in the Glebe,Site A,Low Risk,,,,,,,,,,,,,,
Good Site,08/15/2020 10:34:43,15-Aug-20,10:34,Morning,6,Weekend,26.87,46.74,4.5,6.6,7.5,21.56,32593.3,-19.12,32583.8,101156.8,45.409088,-75.686736,,,,more than 166.67,,1,Strathcona,Site B,Low Risk,,,,,,,,,,,,,,
,08/24/2020 16:53:54,24-Aug-20,16:53,Afternoon,1,Weekday,29.66333333,54.98333333,10.8,15.16666667,15.96666667,138.9433333,32489.9,155.3666667,32518.53333,100287.4333,45.409088,-75.686736,,,,,,6,Strathcona,Site B,Moderate Risk,O3 level higher than standard,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.409088,-75.686736,,,,,,,Strathcona,Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.409088,-75.686736,,,,,,,Strathcona,Site B,Low Risk,,,,,,,,,,,,,,
